Town,Median_Price,Avg_Price,Transaction_Count,Flip_Rate,Avg_Days_To_Sell,Avg_YoY_Growth,Recent_Momentum,score_growth,score_momentum,score_flip,score_days,Investment_Score,Rank
Old Saybrook,350000.0,400590.36486197304,4673,0.0342392467365718,463.69077680291036,3.92718813398427,12.562679714174877,0.06438939463224715,0.5957350795381646,0.3032804259046087,0.5311201964617851,0.3416,82
West Hartford,290000.0,332119.6861406653,22877,0.048520347947720414,470.79988634873456,3.369405804101242,10.710764431533576,0.05002402709684503,0.5479000304953974,0.6000811991348304,0.25453082917143277,0.3401,83
Waterford,225000.0,253510.68836344316,7528,0.04117959617428268,465.44168437832093,3.472229413761335,9.76595444127934,0.0526721908427165,0.5234955490142312,0.447520078655788,0.46299880722940756,0.3344,84
Groton,210000.0,270304.06409281096,10516,0.04478889311525295,463.738398630658,3.226796641182013,6.813839387262305,0.046351208992907636,0.4472422939585308,0.5225312495073172,0.5292674058807663,0.3343,85
Wethersfield,233000.0,251304.67449158328,8792,0.04151501364877161,464.60816651501364,3.50204360964024,8.812402222634091,0.053440038547147656,0.4988652554088569,0.45449098127116383,0.49542792890088094,0.3336,86
Enfield,184000.0,198320.047305492,12236,0.04707420725727362,467.9276724419745,3.2191066886349127,8.618054665746678,0.04615315862675125,0.49384524990310175,0.5700263967230088,0.36627813339745074,0.3333,87
North Stonington,218000.0,247271.0211886305,1935,0.04237726098191214,466.1457364341085,3.187460360564625,9.615843366912662,0.04533812539690524,0.519618173698255,0.47241086513782427,0.4356067250854281,0.3316,88
New Milford,265000.0,298078.8262411071,10261,0.04161387778968911,465.0607153298899,2.937822986154923,8.942076594646803,0.03890885641177945,0.5022147498500773,0.4565456514982854,0.4778209150311703,0.3273,89
Rocky Hill,217500.0,252939.9360425738,6201,0.03531688437348815,462.29833897758425,3.9435257472055025,8.993845700839382,0.06481016059416543,0.503551948023684,0.3256767158804177,0.5852948430353955,0.3267,90
Kent,275000.0,383234.43563636363,1375,0.028363636363636365,451.6392727272727,3.8549766514307677,4.682895639152399,0.06252962885699415,0.39219992800708603,0.1811689951330535,1.0,0.3258,91
